region_code,region_name_vi,item_code,item_name_vi,beta,emission_intensity,security_risk_ai,security_reduction_h
NMM,Trung du miền núi phía Bắc,I,Hạ tầng số,1.15,0.42,0.18,0.32
NMM,Trung du miền núi phía Bắc,D,Dữ liệu/CĐS,0.85,0.42,0.18,0.32
NMM,Trung du miền núi phía Bắc,AI,Trí tuệ nhân tạo,0.55,0.42,0.18,0.32
NMM,Trung du miền núi phía Bắc,H,Nhân lực số,1.3,0.42,0.18,0.32
RRD,Đồng bằng sông Hồng,I,Hạ tầng số,0.95,0.55,0.45,0.28
RRD,Đồng bằng sông Hồng,D,Dữ liệu/CĐS,1.25,0.55,0.45,0.28
RRD,Đồng bằng sông Hồng,AI,Trí tuệ nhân tạo,1.4,0.55,0.45,0.28
RRD,Đồng bằng sông Hồng,H,Nhân lực số,1.05,0.55,0.45,0.28
NCC,Bắc Trung Bộ + DH Trung Bộ,I,Hạ tầng số,1.05,0.48,0.28,0.3
NCC,Bắc Trung Bộ + DH Trung Bộ,D,Dữ liệu/CĐS,0.95,0.48,0.28,0.3
NCC,Bắc Trung Bộ + DH Trung Bộ,AI,Trí tuệ nhân tạo,0.85,0.48,0.28,0.3
NCC,Bắc Trung Bộ + DH Trung Bộ,H,Nhân lực số,1.15,0.48,0.28,0.3
CH,Tây Nguyên,I,Hạ tầng số,1.2,0.32,0.12,0.35
CH,Tây Nguyên,D,Dữ liệu/CĐS,0.75,0.32,0.12,0.35
CH,Tây Nguyên,AI,Trí tuệ nhân tạo,0.45,0.32,0.12,0.35
CH,Tây Nguyên,H,Nhân lực số,1.35,0.32,0.12,0.35
SE,Đông Nam Bộ,I,Hạ tầng số,0.9,0.62,0.52,0.25
SE,Đông Nam Bộ,D,Dữ liệu/CĐS,1.3,0.62,0.52,0.25
SE,Đông Nam Bộ,AI,Trí tuệ nhân tạo,1.55,0.62,0.52,0.25
SE,Đông Nam Bộ,H,Nhân lực số,1.0,0.62,0.52,0.25
MD,Đồng bằng sông Cửu Long,I,Hạ tầng số,1.1,0.38,0.22,0.3
MD,Đồng bằng sông Cửu Long,D,Dữ liệu/CĐS,0.85,0.38,0.22,0.3
MD,Đồng bằng sông Cửu Long,AI,Trí tuệ nhân tạo,0.65,0.38,0.22,0.3
MD,Đồng bằng sông Cửu Long,H,Nhân lực số,1.25,0.38,0.22,0.3
