region_code,region_name_vi,item_code,item_name_vi,beta_marginal_impact,digital_index_initial
NMM,Trung du và miền núi phía Bắc,I,Hạ tầng số,1.15,38.0
NMM,Trung du và miền núi phía Bắc,D,CĐS doanh nghiệp,0.85,38.0
NMM,Trung du và miền núi phía Bắc,AI,Ứng dụng AI,0.55,38.0
NMM,Trung du và miền núi phía Bắc,H,Nhân lực số,1.3,38.0
RRD,Đồng bằng sông Hồng,I,Hạ tầng số,0.95,78.0
RRD,Đồng bằng sông Hồng,D,CĐS doanh nghiệp,1.25,78.0
RRD,Đồng bằng sông Hồng,AI,Ứng dụng AI,1.4,78.0
RRD,Đồng bằng sông Hồng,H,Nhân lực số,1.05,78.0
NCC,Bắc Trung Bộ và Duyên hải miền Trung,I,Hạ tầng số,1.05,55.0
NCC,Bắc Trung Bộ và Duyên hải miền Trung,D,CĐS doanh nghiệp,0.95,55.0
NCC,Bắc Trung Bộ và Duyên hải miền Trung,AI,Ứng dụng AI,0.85,55.0
NCC,Bắc Trung Bộ và Duyên hải miền Trung,H,Nhân lực số,1.15,55.0
CH,Tây Nguyên,I,Hạ tầng số,1.2,32.0
CH,Tây Nguyên,D,CĐS doanh nghiệp,0.75,32.0
CH,Tây Nguyên,AI,Ứng dụng AI,0.45,32.0
CH,Tây Nguyên,H,Nhân lực số,1.35,32.0
SE,Đông Nam Bộ,I,Hạ tầng số,0.9,82.0
SE,Đông Nam Bộ,D,CĐS doanh nghiệp,1.3,82.0
SE,Đông Nam Bộ,AI,Ứng dụng AI,1.55,82.0
SE,Đông Nam Bộ,H,Nhân lực số,1.0,82.0
MD,Đồng bằng sông Cửu Long,I,Hạ tầng số,1.1,48.0
MD,Đồng bằng sông Cửu Long,D,CĐS doanh nghiệp,0.85,48.0
MD,Đồng bằng sông Cửu Long,AI,Ứng dụng AI,0.65,48.0
MD,Đồng bằng sông Cửu Long,H,Nhân lực số,1.25,48.0
